,کد قطعه,شماره فنی,نام قطعه,قیمت (ریال) *
0,657378DGN,1109190-SF01,لوله خرجی فیلتر هوا,"5,805,457"
1,MY672135DGN,1009100F0016,کارتل روغن موتور,"37,856,652"
2,MY672096DGN,3502401-SF01,صفحه فلزی گردگیر دیسک ترمز عقب راست,"1,410,030"
3,657031DGN,8202200-SF17,آینه بغل راست,"40,491,141"
4,657326DGN,6107104-SF01,نوار آبگیر داخلی جلو چپ,"2,642,484"
5,657598DGN,1703400-SA04,کابل تعویض دنده,"5,868,374"
6,657309DGN,5521605-SF01-BK02,پارکابی جلو چپ,"1,605,051"
7,657273DGN,6107102-SF01,نوار دور شیشه جلو چپ,"5,885,533"
8,657859DGN,5306422-SF01-BK02,کاور پشت درب داشبورد,"2,115,491"
9,MY672103DGN,5306300-SF01,دریچه هواکش میانی داشبورد,"6,431,547"
10,657360DGN,2802220-SF01,کاور روی موتور راست,"7,191,536"
11,657777DGN,1119100-SF01,خنک کننده هوای موتور(اینترکولر),"26,018,744"
12,657175DGN,3776010-SF01,کنترلر رادار پيشگيري برخورد,"7,480,534"
13,MY672649DGN,2801020-SF01D,سر شاسی جلو راست,"126,045,395"
14,657547DGN,5500080-SF01,زه تزئینی مثلثی درب جلو راست,"5,665,887"
15,657846DGN,3758100-SF02,مجموعه سوئیچ درب باک،  ESP و  درب پنجم,"4,352,663"
16,657321DGN,5402030-SF01-BK02,کاور روچرخی عقب سمت چپ,"19,623,591"
17,657179DGN,4131010-SE01,چراغ رودربي,"1,536,786"
18,657109DGN,1303030-SC02,مخزن انبساط,"4,735,880"
19,657583DGN,8101100-SF01,سه راهی لوله بخاری,"2,153,904"
20,MY672227DGN,483323,اويل پمپ (پمپ روغن) گيربکس,"117,950,582"
21,657372DGN,6207204-SF01,نوار آبگیر داخلی عقب راست,"2,814,074"
22,657610DGN,6104100-SF01,شیشه بالابر جلو چپ,"14,638,292"
23,657890DGN,2917130-SF01,براکت نصب بازوی طولی عقب (سمت چپ),"2,415,478"
24,657291DGN,5006016-SF01,قاب جانبی روی گلگیر جلو- راست,"598,895"
